   0,           256,             1,           256,            0,            0
   1,             0,             0,          3584,            0,            0
   2,             0,             0,         23296,            0,            0
   3,          1371,    0.01471283,         93184,  9.65831e-05,   0.00660793
   4,          4156,    0.01621816,        256256, 0.0001951174,    0.0121773
   5,          8141,    0.01588451,        512512, 0.0004234047,   0.02596315
   6,         12151,    0.01580581,        768768, 7.674617e-05,  0.004879259
   7,         13745,    0.01564435,        878592, 0.0003152772,   0.02056727
   8,         11816,    0.01537005,        768768, 8.845321e-05,  0.005721979
   9,          8019,    0.01564646,        512512, 0.0003063343,   0.01920254
  10,          4159,    0.01622986,        256256, 9.755869e-05,  0.006047412
  11,          1277,    0.01370407,         93184, 0.0001609718,    0.0118859
  12,           304,    0.01304945,         23296,            0,            0
  13,           136,    0.03794643,          3584, 0.0005580357,   0.01492537
  14,             0,             0,           256,            0,            0


0,"Kernel Runtime",0.001038944,s
1,"Total Runtime",0.001998678,s

"Total",65531
"MaxAbsErr",0.0005580357
"MaxRelErr",0.02596315

"Device", 0, "MemClock [MHz]", 2505, "GPUClock [MHz]", 875
